Gene,Product,Category,Tier
DXN06_12785,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
DXN06_12775,Glycine betaine/L-proline ABC transporter ATP-binding protein,Salt tolerance,Core
PFREUD_16450,ABC transporter glycine betaine,Salt tolerance,Core
PFREUD_06450,Permease binding-protein component ABC transporter,Salt tolerance,Core
HMPREF1162_0917,"ABC transporter, permease protein",Salt tolerance,Core
HMPREF1162_0918,"ABC transporter, quaternary amine uptake transporter family, substrate-binding protein",Salt tolerance,Core
HMPREF1162_1810,"ABC transporter, quaternary amine uptake transporter family, substrate-binding protein",Salt tolerance,Core
HMPREF1162_1811,"ABC transporter, permease protein",Salt tolerance,Core
HMPREF1162_1812,"ABC transporter, permease protein",Salt tolerance,Core
HMPREF1162_2270,"ABC transporter, quaternary amine uptake transporter family, substrate-binding protein",Salt tolerance,Core
PACID_03610,Substrate-binding region of ABC-type glycine betaine transport system,Salt tolerance,Contextual
PACID_07630,"ABC transporter, permease protein",Salt tolerance,Core
PACID_30500,"Proline/glycine betaine ABC transporter, permease protein",Salt tolerance,Core
PACID_06440,Substrate-binding region of ABC-type glycine betaine transport system,Salt tolerance,Contextual
PACID_07650,"ABC transporter, substrate-binding protein, QAT family",Salt tolerance,Core
PACID_07700,ABC transporter permease,Salt tolerance,Core
PACID_30520,Glycine betaine/choline-binding protein of an ABC-type transport system,Salt tolerance,Contextual
PACID_07640,"ABC transporter, substrate-binding protein, QAT family",Salt tolerance,Core
PACID_07690,Glycine betaine-binding protein,Salt tolerance,Contextual
PACID_07720,"Osmoprotectant ABC transporter, permease protein",Salt tolerance,Core
PACID_30510,"Proline/glycine betaine ABC transporter, permease protein",Salt tolerance,Core
PPA2017,Periplasmic binding protein of proline/glycine betaine transport system,Salt tolerance,Contextual
PPA1477,Glycine betaine/proline ABC transporter,Salt tolerance,Core
PPA1476,Glycine betaine transport system permease protein,Salt tolerance,Core
PPA1475,Substrate binding component of glycine/betaine transport system,Salt tolerance,Contextual
PPA0406,ABC transporter-associated permease,Salt tolerance,Core
PPA0405,ABC transporter-associated permease,Salt tolerance,Core
PPA0404,Substrate-binding protein,Salt tolerance,Contextual
HMPREF1531_00273,ABC-type glycine betaine transport system substrate-binding domain-containing protein,Salt tolerance,Contextual
HMPREF0682_2509,"ABC transporter, quaternary amine uptake transporter family, substrate-binding protein",Salt tolerance,Core
HMPREF0682_2802,"ABC transporter, quaternary amine uptake transporter family, substrate-binding protein",Salt tolerance,Core
HMPREF0682_0554,ABC-type quaternary amine transporter (EC 7.6.2.9),Salt tolerance,Core
HMPREF0682_0552,"ABC transporter, permease protein",Salt tolerance,Core
HMPREF0682_0553,"ABC transporter, permease protein",Salt tolerance,Core
APC1461_1457,Putative proline/betaine transporter,Salt tolerance,Core
shiA,Putative proline/betaine transporter,Salt tolerance,Core
BACT_1435,Putative proline/betaine transporter,Salt tolerance,Core
BBIA_0220,Putative proline/betaine transporter,Salt tolerance,Core
BCAL_1582,Putative proline/betaine transporter,Salt tolerance,Core
BIGA_1548,Putative proline/betaine transporter,Salt tolerance,Core
BLSS_1114,Putative proline/betaine transporter,Salt tolerance,Core
BMERY_1431,Putative proline/betaine transporter,Salt tolerance,Core
BMIN_0254,Putative proline/betaine transporter,Salt tolerance,Core
BLSS_0528,Putative proline/betaine transporter,Salt tolerance,Core
BMON_0839,Putative proline/betaine transporter,Salt tolerance,Core
BPSY_2093,Putative proline/betaine transporter,Salt tolerance,Core
BPSY_0704,Putative proline/betaine transporter,Salt tolerance,Core
BSAE_1433,Putative proline/betaine transporter,Salt tolerance,Core
BREU_0840,Putative proline/betaine transporter,Salt tolerance,Core
BISA_0937,Putative proline/betaine transporter,Salt tolerance,Core
BSCA_0136,Putative proline/betaine transporter,Salt tolerance,Core
BSCA_0839,ABC transporter substrate-binding protein,Salt tolerance,Core
BSTEL_0552,Putative proline/betaine transporter,Salt tolerance,Core
BSCA_1101,Putative proline/betaine transporter,Salt tolerance,Core
BSTER_0087,Putative proline/betaine transporter,Salt tolerance,Core
BISU_1679,Osmoprotectant (Glycine betaine/carnitine/choline/L-proline) ABC transporter inner membrane subunit,Salt tolerance,Core
BISU_1212,Putative proline/betaine transporter,Salt tolerance,Core
BITS_0135,Putative proline/betaine transporter,Salt tolerance,Core
BINDI_1319,Putative proline/betaine transporter,Salt tolerance,Core
MCC10044_0081,Putative proline/betaine transporter,Salt tolerance,Core
AH68_00460,Putative proline/betaine transporter,Salt tolerance,Core
JF69_15490,Putative proline/betaine transporter,Salt tolerance,Core
JF69_15810,Putative proline/betaine transporter,Salt tolerance,Core
JF70_16000,Putative proline/betaine transporter,Salt tolerance,Core
JF70_15790,Putative proline/betaine transporter,Salt tolerance,Core
BBPR_0146,Putative proline/betaine transporter,Salt tolerance,Core
BBM1128_09695,Putative proline/betaine transporter,Salt tolerance,Core
BBM1114_01130,Putative proline/betaine transporter,Salt tolerance,Core
FCO76_08530,Putative proline/betaine transporter,Salt tolerance,Core
yhjE_2,Putative proline/betaine transporter,Salt tolerance,Core
APC1503_0115,Putative proline/betaine transporter,Salt tolerance,Core
MCC10008_1528,Putative proline/betaine transporter,Salt tolerance,Core
HMPREF3196_01526,Putative proline/betaine transporter,Salt tolerance,Core
BBK15_02560,Putative proline/betaine transporter,Salt tolerance,Core
yhjE_1,Putative proline/betaine transporter,Salt tolerance,Core
BFS26_08555,Putative proline/betaine transporter,Salt tolerance,Core
BFS26_00040,Putative proline/betaine transporter,Salt tolerance,Core
B5782_0614,Putative proline/betaine transporter,Salt tolerance,Core
G5T23_06060,Putative proline/betaine transporter,Salt tolerance,Core
DXC63_04335,Putative proline/betaine transporter,Salt tolerance,Core
Tam10B_1786,Putative proline/betaine transporter,Salt tolerance,Core
BTIS_1451,Putative proline/betaine transporter,Salt tolerance,Core
BMYO_1508,Putative proline/betaine transporter,Salt tolerance,Core
BLEM_0582,ABC transporter substrate-binding protein,Salt tolerance,Core
BHAP_1670,Putative proline/betaine transporter,Salt tolerance,Core
BHAP_0171,Putative proline/betaine transporter,Salt tolerance,Core
BAQU_0687,Putative proline/betaine transporter,Salt tolerance,Core
BAQU_0264,Putative proline/betaine transporter,Salt tolerance,Core
BPS1E_0521,Putative proline/betaine transporter,Salt tolerance,Core
B1526_0433,Putative proline/betaine transporter,Salt tolerance,Core
B1400_0271,Putative proline/betaine transporter,Salt tolerance,Core
DRBB29_0103,Putative proline/betaine transporter,Salt tolerance,Core
CS006_03190,Putative proline/betaine transporter,Salt tolerance,Core
CSQ87_10295,Putative proline/betaine transporter,Salt tolerance,Core
CSQ87_03145,Putative proline/betaine transporter,Salt tolerance,Core
CSQ86_00750,Putative proline/betaine transporter,Salt tolerance,Core
CUU80_09425,Putative proline/betaine transporter,Salt tolerance,Core
APC1461_0121,Putative proline/betaine transporter,Salt tolerance,Core
CQR47_0049,Putative proline/betaine transporter,Salt tolerance,Core
CQR44_1563,Putative proline/betaine transporter,Salt tolerance,Core
CQR44_1598,Putative proline/betaine transporter,Salt tolerance,Core
Tam1G_2058,Putative proline/betaine transporter,Salt tolerance,Core
CGZ88_0682,Putative proline/betaine transporter,Salt tolerance,Core
Uis4E_0474,Putative proline/betaine transporter,Salt tolerance,Core
Uis1B_1873,Putative proline/betaine transporter,Salt tolerance,Core
Uis1B_0878,Putative proline/betaine transporter,Salt tolerance,Core
Uis1B_0406,Putative proline/betaine transporter,Salt tolerance,Core
CPA40_07355,Putative proline/betaine transporter,Salt tolerance,Core
DF200_02740,Putative proline/betaine transporter,Salt tolerance,Core
DF196_05205,Putative proline/betaine transporter,Salt tolerance,Core
DF196_00670,Putative proline/betaine transporter,Salt tolerance,Core
CWE05_04410,Putative proline/betaine transporter,Salt tolerance,Core
DKK75_07775,Putative proline/betaine transporter,Salt tolerance,Core
DKK75_07680,Putative proline/betaine transporter,Salt tolerance,Core
DKK74_08275,Putative proline/betaine transporter,Salt tolerance,Core
DKK74_08420,Putative proline/betaine transporter,Salt tolerance,Core
DKK74_01850,Putative proline/betaine transporter,Salt tolerance,Core
CRD59_06050,Putative proline/betaine transporter,Salt tolerance,Core
DEP29_06675,Putative proline/betaine transporter,Salt tolerance,Core
DER28_06975,Putative proline/betaine transporter,Salt tolerance,Core
DEW10_06110,Putative proline/betaine transporter,Salt tolerance,Core
DXA79_07265,Putative proline/betaine transporter,Salt tolerance,Core
DXA79_00525,Putative proline/betaine transporter,Salt tolerance,Core
DWX79_06280,Putative proline/betaine transporter,Salt tolerance,Core
DXA22_09645,Putative proline/betaine transporter,Salt tolerance,Core
CI601_07355,Putative proline/betaine transporter,Salt tolerance,Core
CI601_07200,Putative proline/betaine transporter,Salt tolerance,Core
BMONG18_1540,Putative proline/betaine transporter,Salt tolerance,Core
D2E23_1960,Putative proline/betaine transporter,Salt tolerance,Core
D2E25_1974,Putative proline/betaine transporter,Salt tolerance,Core
D2E25_0983,Putative proline/betaine transporter,Salt tolerance,Core
D2E24_1638,Putative proline/betaine transporter,Salt tolerance,Core
ESN35_00870,Putative proline/betaine transporter,Salt tolerance,Core
MCC10004_1460,Putative proline/betaine transporter,Salt tolerance,Core
MCC10009_1463,Putative proline/betaine transporter,Salt tolerance,Core
MCC10009_0103,Putative proline/betaine transporter,Salt tolerance,Core
MCC10015_1584,Putative proline/betaine transporter,Salt tolerance,Core
MCC10044_1530,Putative proline/betaine transporter,Salt tolerance,Core
MCC10083_0150,Putative proline/betaine transporter,Salt tolerance,Core
MCC10100_1467,Putative proline/betaine transporter,Salt tolerance,Core
MCC10102_1435,Putative proline/betaine transporter,Salt tolerance,Core
MCC10070_1588,Putative proline/betaine transporter,Salt tolerance,Core
MCC10119_1468,Putative proline/betaine transporter,Salt tolerance,Core
MCC10126_1661,Putative proline/betaine transporter,Salt tolerance,Core
MCC10120_0143,Putative proline/betaine transporter,Salt tolerance,Core
E6L38_00600,Putative proline/betaine transporter,Salt tolerance,Core
MCC10076_0128,Putative proline/betaine transporter,Salt tolerance,Core
MCC10096_1724,Putative proline/betaine transporter,Salt tolerance,Core
FPK30_00490,Putative proline/betaine transporter,Salt tolerance,Core
FPK30_00325,Putative proline/betaine transporter,Salt tolerance,Core
FPK29_05550,Putative proline/betaine transporter,Salt tolerance,Core
FPK29_05640,Putative proline/betaine transporter,Salt tolerance,Core
EM848_06380,Putative proline/betaine transporter,Salt tolerance,Core
EMO92_03710,Putative proline/betaine transporter,Salt tolerance,Core
EMB92_09685,Putative proline/betaine transporter,Salt tolerance,Core
EMO89_09920,Putative proline/betaine transporter,Salt tolerance,Core
GBC97_05970,Putative proline/betaine transporter,Salt tolerance,Core
GBB65_01005,Putative proline/betaine transporter,Salt tolerance,Core
GBI87_08055,Putative proline/betaine transporter,Salt tolerance,Core
DSM100238_1636,ABC transporter substrate-binding protein,Salt tolerance,Core
GBI83_04760,Putative proline/betaine transporter,Salt tolerance,Core
GBJ98_02165,Putative proline/betaine transporter,Salt tolerance,Core
GBB40_05705,Putative proline/betaine transporter,Salt tolerance,Core
F7D08_0581,Putative proline/betaine transporter,Salt tolerance,Core
F7D09_2076,Putative proline/betaine transporter,Salt tolerance,Core
FYJ31_00715,Putative proline/betaine transporter,Salt tolerance,Core
DXC85_02360,Putative proline/betaine transporter,Salt tolerance,Core
DSM100688_2034,Putative proline/betaine transporter,Salt tolerance,Core
GFD21_00780,Putative proline/betaine transporter,Salt tolerance,Core
GFD21_05625,Putative proline/betaine transporter,Salt tolerance,Core
GFD17_01550,Putative proline/betaine transporter,Salt tolerance,Core
GKC41_03710,Putative proline/betaine transporter,Salt tolerance,Core
GFD25_10820,Putative proline/betaine transporter,Salt tolerance,Core
BL5915_02650,Putative proline/betaine transporter,Salt tolerance,Core
GS08_00560,Putative proline/betaine transporter,Salt tolerance,Core
BPULL_1701,Putative proline/betaine transporter,Salt tolerance,Core
BPULL_1183,Putative proline/betaine transporter,Salt tolerance,Core
GX953_01665,Putative proline/betaine transporter,Salt tolerance,Core
G1C95_0813,Putative proline/betaine transporter,Salt tolerance,Core
G1C98_0041,Putative proline/betaine transporter,Salt tolerance,Core
G1C96_0642,Putative proline/betaine transporter,Salt tolerance,Core
G1C97_1562,Putative proline/betaine transporter,Salt tolerance,Core
K8U73_03615,Putative proline/betaine transporter,Salt tolerance,Core
GXW98_02825,Putative proline/betaine transporter,Salt tolerance,Core
GXW98_06875,Putative proline/betaine transporter,Salt tolerance,Core
MMB49_01005,Putative proline/betaine transporter,Salt tolerance,Core
HMPREF1313_0528,Putative proline/betaine transporter,Salt tolerance,Core
HMPREF1313_0766,Putative proline/betaine transporter,Salt tolerance,Core
BA20089_07380,Putative proline/betaine transporter,Salt tolerance,Core
BA20089_07475,Putative proline/betaine transporter,Salt tolerance,Core
OB936_03555,Putative proline/betaine transporter,Salt tolerance,Core
HMPREF1315_0374,Putative proline/betaine transporter,Salt tolerance,Core
HMPREF1315_1779,Putative proline/betaine transporter,Salt tolerance,Core
KZP06_00525,Putative proline/betaine transporter,Salt tolerance,Core
KZP06_03370,Putative proline/betaine transporter,Salt tolerance,Core
LIP63_07500,Putative proline/betaine transporter,Salt tolerance,Core
PL707_00625,Putative proline/betaine transporter,Salt tolerance,Core
PL707_03205,Putative proline/betaine transporter,Salt tolerance,Core
DC496_03315,Putative proline/betaine transporter,Salt tolerance,Core
DC496_00680,Putative proline/betaine transporter,Salt tolerance,Core
SCX10_03950,Putative proline/betaine transporter,Salt tolerance,Core
BLI009_03110,Putative proline/betaine transporter,Salt tolerance,Core
DW139_00050,Putative proline/betaine transporter,Salt tolerance,Core
PUW55_08900,Putative proline/betaine transporter,Salt tolerance,Core
PUW55_00470,Putative proline/betaine transporter,Salt tolerance,Core
BAAM0483_02780,ABC transmembrane type-1 domain-containing protein,Salt tolerance,Contextual
RS890_06125,Putative proline/betaine transporter,Salt tolerance,Core
MCC10083_1557,Putative proline/betaine transporter,Salt tolerance,Core
QN215_07315,Putative proline/betaine transporter,Salt tolerance,Core
QN215_08155,Putative proline/betaine transporter,Salt tolerance,Core
QN215_00430,Putative proline/betaine transporter,Salt tolerance,Core
QN215_01725,Putative proline/betaine transporter,Salt tolerance,Core
QN062_03545,Putative proline/betaine transporter,Salt tolerance,Core
QN062_07080,Putative proline/betaine transporter,Salt tolerance,Core
QN062_02835,Putative proline/betaine transporter,Salt tolerance,Core
BIFADO_00252,Putative proline/betaine transporter,Salt tolerance,Core
BLD_1328,Putative proline/betaine transporter,Salt tolerance,Core
BLD_0013,Putative proline/betaine transporter,Salt tolerance,Core
Blon_0130,Putative proline/betaine transporter,Salt tolerance,Core
BIFPSEUDO_04084,Putative proline/betaine transporter,Salt tolerance,Core
BIFPSEUDO_04384,Putative proline/betaine transporter,Salt tolerance,Core
BIFANG_02323,Putative proline/betaine transporter,Salt tolerance,Core
BLIG_00542,Putative proline/betaine transporter,Salt tolerance,Core
BLIG_01828,Putative proline/betaine transporter,Salt tolerance,Core
BDP_0117,Putative proline/betaine transporter,Salt tolerance,Core
BIFBRE_02987,Putative proline/betaine transporter,Salt tolerance,Core
BIFBRE_04705,Putative proline/betaine transporter,Salt tolerance,Core
BLJ_1461,Putative proline/betaine transporter,Salt tolerance,Core
BLJ_0102,Putative proline/betaine transporter,Salt tolerance,Core
BMOU_1408,Putative proline/betaine transporter,Salt tolerance,Core
BMOU_2026,Putative proline/betaine transporter,Salt tolerance,Core
BMOU_0890,Glycine/betaine ABC transporter permease,Salt tolerance,Core
BCAL_2319,Glycine betaine ABC transporter substrate-binding protein,Salt tolerance,Core
BSAE_1749,Proline/glycine betaine ABC transporter ATPase (EC 3.6.3.32),Salt tolerance,Core
BISU_1677,Osmoprotectant (Glycine betaine/carnitine/choline/L-proline) ABC transporter substrate-binding protein,Salt tolerance,Core
BISU_1678,Glycine/betaine ABC transporter permease,Salt tolerance,Core
BISU_0286,Proline/glycine betaine ABC transporter permease,Salt tolerance,Core
BISU_0287,Periplasmic glycine betaine/choline-binding (Lipo)protein,Salt tolerance,Contextual
BITS_0155,ABC-type quaternary amine transporter (EC 7.6.2.9),Salt tolerance,Core
BITS_0156,"Osmoprotectant (Glycine betaine/carnitine/choline/L-proline) ABC transporter,inner membrane subunit",Salt tolerance,Core
BITS_0157,"Osmoprotectant (Glycine betaine/carnitine/choline/L-proline) ABC transporter,inner membrane subunit",Salt tolerance,Core
BITS_0158,Glycine betaine/choline-binding protein of an ABC-type transport system,Salt tolerance,Contextual
AH68_00240,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
NRBB51_0093,Putative proline/betaine transporter,Salt tolerance,Core
RY67_805,Putative proline/betaine transporter,Salt tolerance,Core
MCC10004_0075,Putative proline/betaine transporter,Salt tolerance,Core
B5782_0102,Putative proline/betaine transporter,Salt tolerance,Core
GA752_05770,Putative proline/betaine transporter,Salt tolerance,Core
BLEM_1971,ABC transporter permease,Salt tolerance,Core
BLEM_1970,Glycine/betaine ABC transporter,Salt tolerance,Core
BLEM_1973,ABC-type quaternary amine transporter (EC 7.6.2.9),Salt tolerance,Core
BLEM_1972,ABC transporter permease,Salt tolerance,Core
BAQU_0522,Glycine/betaine ABC transporter,Salt tolerance,Core
BAQU_0520,ABC transporter permease,Salt tolerance,Core
BAQU_0521,Glycine/betaine ABC transporter permease,Salt tolerance,Core
BEUL_0077,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
CS006_03695,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
CSQ86_01755,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
CUU80_10255,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
CPA40_07550,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
DF200_09875,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
DF200_05020,ABC transporter permease,Salt tolerance,Core
DF200_05025,Glycine/betaine ABC transporter permease,Salt tolerance,Core
DF200_05030,Glycine/betaine ABC transporter,Salt tolerance,Core
GKC41_03835,Putative proline/betaine transporter,Salt tolerance,Core
DW072_05690,Putative proline/betaine transporter,Salt tolerance,Core
DCL71_00645,ABC-type glycine betaine transport system substrate-binding domain-containing protein,Salt tolerance,Contextual
DXA22_01210,Putative proline/betaine transporter,Salt tolerance,Core
DW137_06195,Putative proline/betaine transporter,Salt tolerance,Core
D2E24_0791,ABC transporter permease,Salt tolerance,Core
D2E24_0790,ABC transporter permease,Salt tolerance,Core
D2E24_0792,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
D2E24_0789,ABC-type quaternary amine transporter (EC 7.6.2.9),Salt tolerance,Core
MCC10043_1687,Putative proline/betaine transporter,Salt tolerance,Core
MCC10102_0110,Putative proline/betaine transporter,Salt tolerance,Core
EMO92_01015,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
EMB92_09130,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
EMO89_09380,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
DDE84_00785,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
GBI83_00465,Putative proline/betaine transporter,Salt tolerance,Core
GUA24_12020,Betaine/proline/choline family ABC transporter ATP-binding protein,Salt tolerance,Core
GFD17_02020,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
GFD25_07940,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
GFD24_10995,Glycine/betaine ABC transporter substrate-binding protein,Salt tolerance,Core
G1C95_1788,Quaternary ammonium transporter,Salt tolerance,Core
GXW98_03630,ABC transporter permease,Salt tolerance,Core
GXW98_03620,ABC transporter substrate-binding protein,Salt tolerance,Core
GXW98_03625,ABC transporter permease,Salt tolerance,Core
OB951_04610,Putative proline/betaine transporter,Salt tolerance,Core
DRBB29_1549,Putative proline/betaine transporter,Salt tolerance,Core
DWZ91_07440,Putative proline/betaine transporter,Salt tolerance,Core
LIP63_07060,Putative proline/betaine transporter,Salt tolerance,Core
QN215_08345,ABC transporter permease,Salt tolerance,Core
QN215_08355,ABC-type quaternary amine transporter (EC 7.6.2.9),Salt tolerance,Core
QN215_08340,ABC transporter substrate-binding protein,Salt tolerance,Core
QN215_08350,ABC transporter permease subunit,Salt tolerance,Core
QN062_04690,ABC transporter substrate-binding protein,Salt tolerance,Core
QN062_04700,ABC transporter permease subunit,Salt tolerance,Core
QN062_04705,ABC-type quaternary amine transporter (EC 7.6.2.9),Salt tolerance,Core
QN062_04695,ABC transporter permease,Salt tolerance,Core
HMPREF9003_1690,Putative proline/betaine transporter,Salt tolerance,Core
JF68_13340,"Transporter, putative Poline/glycine-betaine:H+/Na+ symporter",Salt tolerance,Core
BIFCAT_00114,Putative proline/betaine transporter,Salt tolerance,Core
BLJ_1796,"ABC-type proline/glycine betaine transport systems, ATPase component",Salt tolerance,Contextual
ftsH,ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH),Salt tolerance,Core
ktrA,Ktr system potassium uptake protein A (K(+)-uptake protein KtrA),Salt tolerance,Contextual
ktrB,Ktr system potassium uptake protein B (K(+)-uptake protein KtrB),Salt tolerance,Contextual
ktrD,Ktr system potassium uptake protein D (K(+)-uptake protein KtrD),Salt tolerance,Contextual
ktrC,Ktr system potassium uptake protein C (K(+)-uptake protein KtrC) (ORF4),Salt tolerance,Contextual
csbC,Probable metabolite transport protein CsbC,Salt tolerance,Contextual
ectB,"Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)",Salt tolerance,Contextual
OXB_0427,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
QY95_02087,Ectoine hydroxylase (EC 1.14.11.55),Salt tolerance,Contextual
mscL,Large-conductance mechanosensitive channel,Salt tolerance,Contextual
AB685_27365,Ectoine hydroxylase (EC 1.14.11.55),Salt tolerance,Contextual
AM231_21535,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
AM231_20710,Ectoine hydroxylase (EC 1.14.11.55),Salt tolerance,Contextual
WQ57_05215,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
thpD,Ectoine hydroxylase (EC 1.14.11.55),Salt tolerance,Contextual
ectD,Ectoine hydroxylase (EC 1.14.11.55),Salt tolerance,Contextual
BK123_26290,Ectoine hydroxylase (EC 1.14.11.55),Salt tolerance,Contextual
BK123_11775,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
HSCHL_0022,Ectoine hydroxylase (EC 1.14.11.55),Salt tolerance,Contextual
DP091_15060,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
kup,Probable potassium transport system protein Kup,Salt tolerance,Contextual
D5F53_28145,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
D1953_04295,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
DRW41_21820,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
CHR53_02755,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
mscM,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
EJF36_03965,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
F7731_17010,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
SSIL_2138,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
ABC3489,Ectoine hydroxylase (EC 1.14.11.55),Salt tolerance,Contextual
ectC,L-ectoine synthase (EC 4.2.1.108) (N-acetyldiaminobutyrate dehydratase),Salt tolerance,Contextual
ectA,"L-2,4-diaminobutyric acid acetyltransferase (DABA acetyltransferase) (EC 2.3.1.178)",Salt tolerance,Contextual
ylmG,"Factor involved in shape determination, distribution of nucleoids and osmotic tolerance (YggT family protein)",Salt tolerance,Contextual
B7492_29355,Mechanosensitive ion channel family protein (Mechanosensitive ion channel protein MscS),Salt tolerance,Contextual
B4147_5809,Mechanosensitive ion channel family protein (Mechanosensitive ion channel protein MscS) (Small conductance mechanosensitive channel),Salt tolerance,Contextual
AC625_03185,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
AN957_07705,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
SAMN05443253_10496,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
SAMN05443253_110174,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
BTR25_17215,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
BTR25_12135,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
BIV60_23035,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
CHI06_22125,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
FC701_01320,Mechanosensitive ion channel family protein,Salt tolerance,Contextual
yhdY,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
DZB84_06470,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
EKG37_20545,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
CHR53_28090,Mechanosensitive ion channel family protein,Salt tolerance,Contextual
D1B31_22020,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
FC694_06900,Mechanosensitive ion channel family protein,Salt tolerance,Contextual
FC699_13910,Mechanosensitive ion channel family protein,Salt tolerance,Contextual
E1I69_15025,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
F7731_16895,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
G4D63_04400,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
MLOOGBEN_19115,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
KHA96_20745,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
FC678_14310,Mechanosensitive ion channel family protein,Salt tolerance,Contextual
FC678_07690,Mechanosensitive ion channel family protein,Salt tolerance,Contextual
FC695_06075,Mechanosensitive ion channel family protein,Salt tolerance,Contextual
RRV45_11980,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
BK049_18580,Osmotic stress regulator,Salt tolerance,Supportive
RYX45_09670,Mechanosensitive ion channel family protein,Salt tolerance,Contextual
RYX45_20725,Mechanosensitive ion channel,Salt tolerance,Contextual
A374_05476,Osmotic stress regulator,Salt tolerance,Supportive
BABA_13602,Miniconductance mechanosensitive channel YbdG,Salt tolerance,Contextual
PBF_15984,Osmotic stress regulator,Salt tolerance,Supportive
whiB1,Transcriptional regulator WhiB1,Salt tolerance,Supportive
whiB2,Transcriptional regulator WhiB2,Salt tolerance,Supportive
kup2,Probable potassium transport system protein Kup,Salt tolerance,Contextual
kup3,Probable potassium transport system protein Kup,Salt tolerance,Contextual
kup_1,Probable potassium transport system protein Kup,Salt tolerance,Contextual
kup1,Probable potassium transport system protein Kup 1,Salt tolerance,Contextual
BBOH_1428,Potassium transporter,Salt tolerance,Core
BCAL_1830,Potassium transport system protein kup 2,Salt tolerance,Contextual
BTIS_1491,Potassium transport system protein kup 2,Salt tolerance,Contextual
BHAP_1811,Potassium transport system protein kup 2,Salt tolerance,Contextual
CE169_09030,Potassium transporter Kup,Salt tolerance,Core
APC1503_0107,Potassium transport protein,Salt tolerance,Contextual
Uis1B_0233,Potassium transporter Kup,Salt tolerance,Core
CPA40_05605,Potassium transporter Kup,Salt tolerance,Core
DF200_04060,Potassium transporter Kup,Salt tolerance,Core
DWV59_08440,Potassium transporter Kup,Salt tolerance,Core
DCO66_01870,Potassium transporter Kup,Salt tolerance,Core
MCC10002_0095,Potassium transport protein,Salt tolerance,Contextual
MCC10004_0064,Potassium transport protein,Salt tolerance,Contextual
MCC10070_0182,Potassium transport protein,Salt tolerance,Contextual
MCC10100_0122,Potassium transport protein,Salt tolerance,Contextual
