Gene,Product,Category,Tier
cas3,CRISPR helicase/nuclease (Type I),Phage/Immunity,supportive
cse1,Cascade subunit (Type I-E; CasA),Phage/Immunity,supportive
cse2,Cascade subunit (Type I-E; CasB),Phage/Immunity,supportive
cas7,Cascade backbone (Type I),Phage/Immunity,core
cas5e,Cascade small subunit (Type I-E),Phage/Immunity,supportive
cas6e,crRNA processing endoribonuclease (Type I-E),Phage/Immunity,supportive
csy1,Cascade-like subunit (Type I-F),Phage/Immunity,supportive
csy2,Cascade-like subunit (Type I-F),Phage/Immunity,supportive
csy3,Cascade-like subunit (Type I-F),Phage/Immunity,supportive
csy4,RNase/processing (Type I-F),Phage/Immunity,supportive
cas6f,crRNA processing endoribonuclease (Type I-F),Phage/Immunity,supportive
cas8f,Large subunit (Type I-F),Phage/Immunity,supportive
cas8c,Large subunit (Type I-C),Phage/Immunity,supportive
cas5c,Cascade subunit (Type I-C),Phage/Immunity,supportive
cas7c,Cascade subunit (Type I-C),Phage/Immunity,supportive
cas9,RNA-guided DNase (Type II effector),Phage/Immunity,supportive
csn2,Type II-A adaptation factor,Phage/Immunity,supportive
tracrRNA,Trans-activating crRNA (non-coding RNA),Phage/Immunity,supportive
rnc,RNase III (processes dual crRNA:tracrRNA),Phage/Immunity,supportive
cas10,Type III effector polymerase,Phage/Immunity,supportive
csm1,Type III-A complex subunit,Phage/Immunity,supportive
csm2,Type III-A complex subunit,Phage/Immunity,supportive
csm3,Type III-A RNase subunit,Phage/Immunity,supportive
csm4,Type III-A complex subunit,Phage/Immunity,supportive
csm5,Type III-A complex subunit,Phage/Immunity,supportive
cmr1,Type III-B complex subunit,Phage/Immunity,supportive
cmr2,Type III-B complex subunit,Phage/Immunity,supportive
cmr3,Type III-B complex subunit,Phage/Immunity,supportive
cmr4,Type III-B RNase,Phage/Immunity,supportive
cas12a,Cpf1 endonuclease (Type V-A effector),Phage/Immunity,supportive
cas12b,C2c1 endonuclease (Type V-B effector),Phage/Immunity,supportive
cas12e,CasX endonuclease (Type V-E),Phage/Immunity,supportive
cas12f,"Cas14 endonuclease (Type V-F, mini)",Phage/Immunity,supportive
cas13a,Type VI RNase effector,Phage/Immunity,supportive
cas13b,Type VI RNase effector,Phage/Immunity,supportive
cas13d,Type VI-D RNase effector,Phage/Immunity,supportive
leuO,CRISPR activator (counteracts H-NS),Phage/Immunity,supportive
hns,CRISPR locus repressor,Phage/Immunity,supportive
crp,Global regulator influencing CRISPR promoters,Phage/Immunity,supportive
hsdR,Type I RM restriction subunit,Phage/Immunity,supportive
hsdM,Type I RM methyltransferase subunit,Phage/Immunity,supportive
hsdS,Type I RM specificity subunit,Phage/Immunity,supportive
res,Type III RM restriction endonuclease (Res),Phage/Immunity,supportive
mod,Type III RM methyltransferase (Mod),Phage/Immunity,supportive
dam,DNA adenine methyltransferase (modification),Phage/Immunity,supportive
dcm,DNA cytosine methyltransferase (modification),Phage/Immunity,supportive
mcrA,Type IV REase (methylcytosine-specific),Phage/Immunity,supportive
mcrB,Type IV REase GTPase subunit,Phage/Immunity,supportive
mcrC,Type IV REase nuclease subunit,Phage/Immunity,supportive
mrr,Type IV REase (5mC/6mA dependent),Phage/Immunity,supportive
pglZ,BREX phosphatase-like core component,Phage/Immunity,core
pglX,BREX DNA methyltransferase,Phage/Immunity,supportive
brxC,BREX core ATPase (a.k.a. pglY),Phage/Immunity,core
brxL,BREX Lon-like protease,Phage/Immunity,supportive
brxA,BREX core component,Phage/Immunity,core
brxB,BREX core component,Phage/Immunity,core
drmA,DISARM helicase,Phage/Immunity,supportive
drmB,DISARM nuclease,Phage/Immunity,supportive
drmC,DISARM phospholipase-like protein,Phage/Immunity,supportive
drmD,DISARM helicase/ATPase-like,Phage/Immunity,supportive
drmE,DISARM accessory protein,Phage/Immunity,contextual
cdnA,cGAS/DncV-like nucleotidyltransferase (CD-NTase),Phage/Immunity,supportive
cap2,E1/E2-like ubiquitin-conjugating enzyme (CBASS),Phage/Immunity,supportive
cap3,JAB/peptidase-like regulator (CBASS),Phage/Immunity,supportive
capV,Phospholipase effector (CBASS),Phage/Immunity,supportive
cap5,Effector/antitoxin-like (CBASS),Phage/Immunity,supportive
thsA,Thoeris TIR-domain sensor,Phage/Immunity,supportive
thsB,Thoeris NADase effector,Phage/Immunity,supportive
gajA,Gabija ATP-dependent endonuclease,Phage/Immunity,supportive
gajB,Gabija UvrD-like helicase/ATPase,Phage/Immunity,supportive
zorA,Zorya membrane protein,Phage/Immunity,supportive
zorB,Zorya accessory protein,Phage/Immunity,contextual
lamA,Lamassu defense nuclease,Phage/Immunity,supportive
lamB,Lamassu accessory protein,Phage/Immunity,contextual
lamC,Lamassu accessory protein,Phage/Immunity,contextual
shuA,Shedu defense nuclease,Phage/Immunity,supportive
ago,Prokaryotic Argonaute (nucleic acid-guided defense),Phage/Immunity,supportive
dndA,Cysteine desulfurase for DNA sulfur modification,Phage/Immunity,supportive
dndB,DNA sulfur modification protein,Phage/Immunity,supportive
dndC,ATP pyrophosphatase for DNA sulfur modification,Phage/Immunity,supportive
dndD,DNA sulfur modification ATPase,Phage/Immunity,supportive
dndE,DNA sulfur modification protein,Phage/Immunity,supportive
dndF,Restriction component recognizing PT-DNA,Phage/Immunity,supportive
dndG,Restriction nuclease (PT-dependent),Phage/Immunity,supportive
dndH,Restriction component (PT-dependent),Phage/Immunity,supportive
abiA,Abortive infection protein A,Phage/Immunity,supportive
abiB,Abortive infection protein B,Phage/Immunity,supportive
abiD,Abortive infection protein D,Phage/Immunity,supportive
abiE,Abortive infection toxin–antitoxin system (toxin),Phage/Immunity,supportive
abiEi,Abortive infection antitoxin (AbiE immunity),Phage/Immunity,core
abiF,Abortive infection protein F,Phage/Immunity,supportive
abiG,Abortive infection protein G,Phage/Immunity,supportive
abiH,Abortive infection protein H,Phage/Immunity,supportive
abiI,Abortive infection protein I,Phage/Immunity,supportive
abiK,Abortive infection protein K (polymerase-like),Phage/Immunity,supportive
abiL,Abortive infection protein L,Phage/Immunity,supportive
abiN,Abortive infection protein N,Phage/Immunity,supportive
abiO,Abortive infection protein O,Phage/Immunity,supportive
abiP,Abortive infection protein P,Phage/Immunity,supportive
abiQ,Abortive infection protein Q (toxin),Phage/Immunity,supportive
abiR,Abortive infection regulator,Phage/Immunity,supportive
abiT,Abortive infection protein T,Phage/Immunity,supportive
rexA,Prophage-encoded exclusion (Rex) membrane protein,Phage/Immunity,supportive
rexB,Prophage-encoded exclusion (Rex) membrane protein,Phage/Immunity,supportive
pifA,Phage inhibition protein A,Phage/Immunity,supportive
lit,tRNA^Lys-specific anticodon nuclease (phage defense),Phage/Immunity,supportive
prrC,tRNA anticodon nuclease (defense),Phage/Immunity,supportive
rloC,tRNA anticodon nuclease (defense),Phage/Immunity,supportive
mazE,Antitoxin (MazEF TA system),Phage/Immunity,supportive
mazF,mRNA interferase toxin (MazEF),Phage/Immunity,supportive
relB,Antitoxin (RelBE TA system),Phage/Immunity,supportive
relE,mRNA interferase toxin (RelBE),Phage/Immunity,supportive
vapB,Antitoxin (VapBC TA system),Phage/Immunity,supportive
vapC,PIN-domain RNase toxin (VapBC),Phage/Immunity,supportive
hipA,Ser/Thr kinase toxin (HipBA),Phage/Immunity,supportive
hipB,Antitoxin (HipBA),Phage/Immunity,supportive
mqsA,Antitoxin (MqsRA),Phage/Immunity,supportive
mqsR,RNase toxin (MqsRA),Phage/Immunity,supportive
ccdA,Antitoxin (CcdAB),Phage/Immunity,supportive
ccdB,DNA gyrase poison (CcdAB),Phage/Immunity,supportive
parD,Antitoxin (ParDE),Phage/Immunity,supportive
parE,Toxin (ParDE),Phage/Immunity,supportive
hok,Small toxic membrane peptide (Hok/Sok),Phage/Immunity,supportive
sok,Antisense RNA antitoxin (Hok/Sok),Phage/Immunity,supportive
phd,Antitoxin (Phd/Doc),Phage/Immunity,supportive
doc,Toxin (Phd/Doc),Phage/Immunity,supportive
hicA,Toxin (HicAB),Phage/Immunity,supportive
hicB,Antitoxin (HicAB),Phage/Immunity,supportive
yoeB,Toxin (YefM/YoeB),Phage/Immunity,supportive
yefM,Antitoxin (YefM/YoeB),Phage/Immunity,supportive
toxN,Endoribonuclease toxin (ToxIN),Phage/Immunity,supportive
toxI,Antitoxin RNA (ToxIN),Phage/Immunity,supportive
rnlA,RNase LS toxin (RnlAB),Phage/Immunity,supportive
rnlB,Antitoxin (RnlAB),Phage/Immunity,supportive
msr,Retron msDNA RNA component,Phage/Immunity,supportive
msd,Retron msDNA DNA component,Phage/Immunity,supportive
rrtT,Reverse transcriptase (retron),Phage/Immunity,supportive
rcaT,Retron-controlled abortive infection toxin,Phage/Immunity,supportive
sieA,Superinfection exclusion protein A,Phage/Immunity,supportive
sieB,Superinfection exclusion protein B,Phage/Immunity,supportive
cI,Prophage immunity repressor (lambda-like),Phage/Immunity,core
cro,Prophage switch regulator (lambda-like),Phage/Immunity,supportive
